Date,close,short_ma,long_ma,signal,position,market_return,trade,strategy_return_before_cost,cost,strategy_return,market_equity,strategy_equity
2015-03-16,172.73362731933594,173.44585418701172,170.59720947265626,1,0.0,0.013360371145988204,0.0,0.0,0.0,0.0,10153.337740183018,10000.0
2015-03-17,172.2201690673828,173.35682678222656,170.63911346435546,1,1.0,-0.0029725436785038584,1.0,-0.0029725436785038584,0.001,-0.003972543678503858,10123.156500267723,9960.274563214962
2015-03-18,174.29055786132812,173.37049407958983,170.78387145996095,1,1.0,0.012021755669832546,0.0,0.012021755669832546,0.0,0.012021755669832546,10244.854614321419,10080.014550418378
2015-03-19,173.49554443359375,173.35061950683593,170.94419982910156,1,1.0,-0.004561425687597542,0.0,-0.004561425687597542,0.0,-0.004561425687597542,10198.123471317951,10034.035313116745
2015-03-20,175.02696228027344,173.3551452636719,171.09391540527344,1,1.0,0.008826842508718347,0.0,0.008826842508718347,0.0,0.008826842508718347,10288.14070108374,10122.604162552545
2015-03-23,174.6858673095703,173.34385604858397,171.1773483276367,1,1.0,-0.001948813864214416,0.0,-0.001948813864214416,0.0,-0.001948813864214416,10268.091029848478,10102.877091218606
2015-03-24,173.70440673828125,173.2586471557617,171.26848022460936,1,1.0,-0.005618431453013661,0.0,-0.005618431453013661,0.0,-0.005618431453013661,10210.400464243969,10046.114768803374
2015-03-25,171.15890502929688,173.05361633300782,171.33520324707033,1,1.0,-0.014654214920520992,0.0,-0.014654214920520992,0.0,-0.014654214920520992,10060.775061416352,9898.89684386511
2015-03-26,170.75128173828125,172.83855590820312,171.40321533203124,1,1.0,-0.0023815488358368553,0.0,-0.0023815488358368553,0.0,-0.0023815488358368553,10036.814834281218,9875.322137610532
2015-03-27,171.14227294921875,172.6728614807129,171.4992529296875,1,1.0,0.0022898288490553753,0.0,0.0022898288490553753,0.0,0.0022898288490553753,10059.797422441381,9897.934935134948
2015-03-30,173.2301788330078,172.55648880004884,171.6675231933594,1,1.0,0.012199825605965664,0.0,0.012199825605965664,0.0,0.012199825605965664,10182.525196626508,10018.68801520279
2015-03-31,171.71620178222656,172.40044097900392,171.76228607177734,1,1.0,-0.008739684164620676,0.0,-0.008739684164620676,0.0,-0.008739684164620676,10093.5331424097,9931.127846206047
2015-04-01,171.10899353027344,172.25088653564453,171.8377828979492,1,1.0,-0.0035361150878656655,0.0,-0.0035361150878656655,0.0,-0.0035361150878656655,10057.841247574954,9896.010235189555
2015-04-02,171.7245635986328,172.12258682250976,171.90869689941405,1,1.0,0.0035975319336472023,0.0,0.0035975319336472023,0.0,0.0035975319336472023,10094.02465264666,9931.61144802635
2015-04-06,172.8808135986328,172.17466354370117,171.95271636962892,1,1.0,0.006733166040837846,0.0,0.006733166040837846,0.0,0.006733166040837846,10161.989396653242,9998.482636958997
2015-04-07,172.42327880859375,172.16825408935546,172.0063003540039,1,1.0,-0.002646533068159318,0.0,-0.002646533068159318,0.0,-0.002646533068159318,10135.095355676716,9972.02132202887
2015-04-08,173.0055694580078,172.33091430664064,172.06357940673828,1,1.0,0.0033770999683890857,0.0,0.0033770999683890857,0.0,0.0033770999683890857,10169.322585881993,10005.697834920269
2015-04-09,173.7708282470703,172.5517135620117,172.1810501098633,1,1.0,0.0044233188067870355,0.0,0.0044233188067870355,0.0,0.0044233188067870355,10214.304741728409,10049.9562263285
2015-04-10,174.7191619873047,172.71227264404297,172.3605520629883,1,1.0,0.0054573817124587976,0.0,0.0054573817124587976,0.0,0.0054573817124587976,10270.048101631397,10104.802673649076
2015-04-13,173.92893981933594,172.88590621948242,172.49360565185546,1,1.0,-0.004522813405127057,0.0,-0.004522813405127057,0.0,-0.004522813405127057,10223.59859040604,10059.100536660533
2015-04-14,174.2616424560547,172.96230697631836,172.67538391113283,1,1.0,0.0019128653176656574,0.0,0.0019128653176656574,0.0,0.0019128653176656574,10243.154957571363,10078.342241204022
2015-04-15,175.04360961914062,173.10347900390624,172.83189208984376,1,1.0,0.00448731661233559,0.0,0.00448731661233559,0.0,0.00448731661233559,10289.1192369752,10123.56695376778
2015-04-16,174.99366760253906,173.1386344909668,172.9390377807617,1,1.0,-0.0002853118529161369,0.0,-0.0002853118529161369,0.0,-0.0002853118529161369,10286.183629300825,10120.67858012208
2015-04-17,172.980712890625,173.11289291381837,173.0188430786133,1,1.0,-0.011503014591853988,0.0,-0.011503014591853988,0.0,-0.011503014591853988,10167.861508918488,10004.260266735471
2015-04-20,174.56112670898438,173.0896011352539,173.09613708496093,0,1.0,0.009136358568244907,0.0,0.009136358568244907,0.0,0.009136358568244907,10260.758737536222,10095.662775742414
2015-04-21,174.3531494140625,173.0729652404785,173.17871215820313,0,0.0,-0.0011914296088876286,1.0,-0.0,0.001,-0.001,10248.53376576667,10085.567112966672
2015-04-22,175.2099609375,173.14824295043945,173.29366119384767,0,0.0,0.00491423026378901,0.0,0.0,0.0,0.0,10298.897420557863,10085.567112966672
2015-04-23,175.65086364746094,173.37284088134766,173.3813214111328,0,0.0,0.002516424908731052,0.0,0.0,0.0,0.0,10324.813822559423,10085.567112966672
2015-04-24,176.05841064453125,173.63819732666016,173.475146484375,1,0.0,0.0023202106076078977,0.0,0.0,0.0,0.0,10348.769565112101,10085.567112966672
2015-04-27,175.32644653320312,173.84740600585937,173.52137084960938,1,1.0,-0.004157507208252587,1.0,-0.004157507208252587,0.001,-0.005157507208252587,10305.744481048601,10033.55072788223
2015-04-28,175.88369750976562,173.98008193969727,173.5644973754883,1,1.0,0.0031783623496697277,0.0,0.0031783623496697277,0.0,0.0031783623496697277,10338.499871292484,10065.440987749233
2015-04-29,175.16006469726562,174.15227508544922,173.58768432617188,1,1.0,-0.004114268819370381,0.0,-0.004114268819370381,0.0,-0.004114268819370381,10295.96450363296,10024.029057740123
2015-04-30,173.4048614501953,174.2670684814453,173.57543731689452,1,1.0,-0.010020567474120834,0.0,-0.010020567474120834,0.0,-0.010020567474120834,10192.793096613153,9923.58259820449
2015-05-01,175.28485107421875,174.4450828552246,173.60327362060548,1,1.0,0.010841620057828738,0.0,0.010841620057828738,0.0,0.010841620057828738,10303.299486694692,10031.170310346704
2015-05-04,175.78390502929688,174.59023742675782,173.6202227783203,1,1.0,0.0028471025991105847,0.0,0.0028471025991105847,0.0,0.0028471025991105847,10332.634037442676,10059.730081409412
2015-05-05,173.7708282470703,174.65761489868163,173.59740631103514,1,1.0,-0.011451997166015082,0.0,-0.011451997166015082,0.0,-0.011451997166015082,10214.304741728412,9944.526081026235
2015-05-06,173.05551147460938,174.6601119995117,173.55034484863282,1,1.0,-0.004116437607375012,0.0,-0.004116437607375012,0.0,-0.004116437607375012,10172.258193556374,9903.590059878776
2015-05-07,173.7458953857422,174.65886535644532,173.52007232666017,1,1.0,0.003989378351778816,0.0,0.003989378351778816,0.0,0.003989378351778816,10212.839180182451,9943.099227668548
2015-05-08,176.0335235595703,174.7245834350586,173.53969299316407,1,1.0,0.013166516358554814,0.0,0.013166516358554814,0.0,0.013166516358554814,10347.306694315612,10074.01520630438
2015-05-11,175.19334411621094,174.78780364990234,173.55443664550782,1,1.0,-0.004772837732098578,0.0,-0.004772837732098578,0.0,-0.004772837732098578,10297.920678499386,10025.933566413996
2015-05-12,174.66921997070312,174.80818252563478,173.5366683959961,1,1.0,-0.002991689827897437,0.0,-0.002991689827897437,0.0,-0.002991689827897437,10267.112493957025,9995.93908294818
2015-05-13,174.7025604248047,174.79113006591797,173.53397644042968,1,1.0,0.0001908776721344374,0.0,0.0001908776721344374,0.0,0.0001908776721344374,10269.072256489413,9997.847084531131
2015-05-14,176.52427673339844,174.86766052246094,173.58246032714842,1,1.0,0.010427530679367747,0.0,0.010427530679367747,0.0,0.010427530679367747,10376.1533224926,10102.099941732708
2015-05-15,176.71560668945312,175.05440521240234,173.63096130371093,1,1.0,0.001083873332298868,0.0,0.001083873332298868,0.0,0.001083873332298868,10387.399758370695,10113.04933845977
2015-05-18,177.2646026611328,175.18957901000977,173.7394677734375,1,1.0,0.0031066637631187444,0.0,0.0031066637631187444,0.0,0.0031066637631187444,10419.669916793053,10144.467182374196
2015-05-19,177.206298828125,175.33223648071288,173.83256439208984,1,1.0,-0.00032890849121902654,0.0,-0.00032890849121902654,0.0,-0.00032890849121902654,10416.242798881722,10141.13058097902
2015-05-20,177.08163452148438,175.42582015991212,173.97914978027345,1,1.0,-0.0007034981683214925,0.0,-0.0007034981683214925,0.0,-0.0007034981683214925,10408.914991151916,10133.99631419059
2015-05-21,177.5973358154297,175.52314376831055,174.14399963378906,1,1.0,0.00291222348008513,0.0,0.00291222348008513,0.0,0.00291222348008513,10439.228077791358,10163.508776203871
2015-05-22,177.173095703125,175.57887802124023,174.25730194091796,1,1.0,-0.002388775205195537,0.0,-0.002388775205195537,0.0,-0.002388775205195537,10414.291108597748,10139.23043844149
2015-05-26,175.2681884765625,175.5759651184082,174.35354034423827,1,1.0,-0.010751673209765444,0.0,-0.010751673209765444,0.0,-0.010751673209765444,10302.32005388674,10030.216746168859
2015-05-27,176.93190002441406,175.6283752441406,174.43750579833986,1,1.0,0.009492376011372095,0.0,0.009492376011372095,0.0,0.009492376011372095,10400.113549627731,10125.427334999054
2015-05-28,176.73220825195312,175.706982421875,174.52774658203126,1,1.0,-0.001128636342193734,0.0,-0.001128636342193734,0.0,-0.001128636342193734,10388.37560351268,10113.999409728534
2015-05-29,175.6342315673828,175.81845092773438,174.55462005615234,1,1.0,-0.0062126575310200716,0.0,-0.0062126575310200716,0.0,-0.0062126575310200716,10323.836183584452,10051.164595126951
2015-06-01,175.99188232421875,175.8538024902344,174.60454681396484,1,1.0,0.0020363385522526034,0.0,0.0020363385522526034,0.0,0.0020363385522526034,10344.859009212227,10071.632169087043
2015-06-02,175.81719970703125,175.8554672241211,174.6203515625,1,1.0,-0.0009925606504150863,0.0,-0.0009925606504150863,0.0,-0.0009925606504150863,10334.59110922559,10061.635463310551
2015-06-03,176.28302001953125,175.98107681274413,174.6522946166992,1,1.0,0.0026494581490104085,0.0,0.0026494581490104085,0.0,0.0026494581490104085,10361.97217585662,10088.293345381191
2015-06-04,174.7940216064453,176.06800231933593,174.6740869140625,1,1.0,-0.008446635489458787,0.0,-0.008446635489458787,0.0,-0.008446635489458787,10274.448373935245,10003.081208782023
2015-06-05,174.4945831298828,176.10543670654297,174.7408004760742,1,1.0,-0.0017130933530249415,0.0,-0.0017130933530249415,0.0,-0.0017130933530249415,10256.847284719859,9985.94499685349
2015-06-08,173.42153930664062,175.97483749389647,174.7942056274414,1,1.0,-0.006149439163068315,0.0,-0.006149439163068315,0.0,-0.006149439163068315,10193.773426337591,9924.537035609594
2015-06-09,173.39649963378906,175.8849952697754,174.83929016113282,1,1.0,-0.00014438617574075163,0.0,-0.00014438617574075163,0.0,-0.00014438617574075163,10192.301586376196,9923.104069661023
2015-06-10,175.47613525390625,175.92534103393555,174.88420928955077,1,1.0,0.011993527115653047,0.0,0.011993527115653047,0.0,0.011993527115653047,10314.543231823312,10042.117087391951
2015-06-11,176.04180908203125,175.99230346679687,174.97072143554686,1,1.0,0.003223651052643106,0.0,0.003223651052643106,0.0,0.003223651052643106,10347.793719970114,10074.489368711487
2015-06-12,174.6942138671875,175.90080032348632,175.04242584228516,1,1.0,-0.007654972542436189,0.0,-0.007654972542436189,0.0,-0.007654972542436189,10268.581643168947,9997.369429214936
2015-06-15,173.94558715820312,175.76229934692384,175.08684631347657,1,1.0,-0.004285354920532836,0.0,-0.004285354920532836,0.0,-0.004285354920532836,10224.577126297501,9954.527152939065
2015-06-16,174.89389038085938,175.64376373291014,175.1271078491211,1,1.0,0.0054517233702156,0.0,0.0054517233702156,0.0,0.0054517233702156,10280.31869236751,10008.796481258189
2015-06-17,175.17666625976562,175.5422821044922,175.18217559814454,1,1.0,0.0016168425225744354,0.0,0.0016168425225744354,0.0,0.0016168425225744354,10296.940348774946,10024.97912900888
2015-06-18,176.99839782714844,175.5381202697754,175.26203216552733,1,1.0,0.010399396256813187,0.0,0.010399396256813187,0.0,0.010399396256813187,10404.022311694625,10129.232859437725
2015-06-19,176.21263122558594,175.4688850402832,175.31086822509766,1,1.0,-0.0044393995155247445,0.0,-0.0044393995155247445,0.0,-0.0044393995155247445,10357.834700084579,10084.265147988901
